pakistan ka ghra tauq he pakistan israel ko tasleem nahein kerta isko palestine kehta he occupied palestine	negative
madarchod mulle ye mathura me nahi dikha tha jab mullo ne hindu ko iss liye mara ki vo lasse ki paise mag liye the	negative
manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri banne par hardik badhai tahe dil	positive
jcb full trend me chal rahi aa	positive
loksabha me janta sirf modi ko vote de rahi thi na ki kisi mp or bjp ko without m	positive
user user bhosdike tum pechvade ki tatti hi rahoge bc	negative
love you bhaijan heart suit heart suit father and son hashtag hashtag hashtag best picture from entire hashtag mashallah	positive
tumhara pass abh deemagh hai nahi islea google ko apna deemagh banaya hua hai . har koi tumhari tarh	negative
weni ankere o gae this weekend face with tears of joy face with tears of joy face with tears of joy	positive
user lage raho mullo tumhre issi quran faad gyan ki kayal hain duniya allah bhi khus	negative
user user user pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak	negative
user ye sale is desh ke kabhi sage nahin ho sakte ye gaddar hain inke sath kadi se kadi kanun	negative
saf baby i am sorry i was not online i hope you are sleeping well though i love you	positive
real life k log chor diye hain mene already jo snakes thy ab internet k chorne hain i am sad for no reason solmon	negative
mohsin dawartweets daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho . pakistan	negative
kuch media channel dikh rahe hai ki inke upar kai prakaar ke criminal cases hai shame on this type of media channel	negative
user abe mc nhi malum to ammi mat chuda bsdk grahm stains ko dara singh ne mara tha adivasiy	negative
chara chor ke chele this news is a year old	negative
twitter k baghair apna roza mumkin nahi hota ? apna chutiyaap dusron per thopna band karo bhai !	positive
oh haha the soldier is reading american gods hardy har har thanks for reminding everyone of your other clusterfuck	negative
user mp me govt kamalnath ki h wese ek or video viral h jisme aapke shantidut bhai ek dukandar	negative
dev da tmr new movie song ami tmk valobasi i really loved red heart face blowing a kiss a lot smiling face with heart eyes face blowing a kiss smiling face red heart	neutral
abe bc kya le jayenge yeh toh batah abhi winking face with tongue hashtag babaji ka thullu	positive
i hope i see my baby this weekend but highly doubt it disgusted	neutral
teri mother ka sakinaka tujhe bhadi chinta ho rahi aaj ab se pehle bhadve log bethe the tab tu dudh	negative
isko zammene chayiye bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul me pm dikh	neutral
jai shri ram jai shri krishna jai bajrang bali jai bholenath hum log bolne lage to rukenge nahi	negative
user hindi tumhari bass ki nahi . nahi seekh paoge . darte ho kahin hindi me marks hi nahi	negative
user hamyat tu khota khor corrupt ganje ki bhi kerte thy kia ukhar lia unhon ne lanat tere te patwari	negative
on sale today hashtag it is my entrance mask . quality is very very nice thumbs up even back side too . coming soon user	positive
